"","study","mean.x","lci.x","uci.x","nobs.x","mean_bt.x","lci_bt.x","uci_bt.x","mean.y","lci.y","uci.y","nobs.y","mean_bt.y","lci_bt.y","uci_bt.y","mean","lci","uci","nobs","mean_bt","lci_bt","uci_bt"
"28","Kois",NA,NA,NA,NA,NA,NA,NA,0.0564940406923457,0.0195813076165929,0.0934067737680984,177,5.812030911698,1.97742789060029,9.79082447214905,0.0597402740077983,0.0337988612662346,0.0856816867493619,342,6.15607958061193,3.43765326169305,8.94594837157427
"29","Lado",0.141533330187989,0.0841033502702163,0.198963310105762,401,15.2038901294066,8.77413063577299,22.0137198373855,NA,NA,NA,NA,NA,NA,NA,0.0605951259230616,0.0348178915073266,0.0863723603387965,341,6.24686610754779,3.54311308268171,9.02122045201719
"30","Land",0.13920791337627,0.081259025197072,0.197156801555469,394,14.9363043113864,8.46518123325028,21.7934999836607,0.0529316644663222,0.0150436438505545,0.0908196850820898,168,5.43575925687336,1.51573690254074,9.50715297221203,0.0575427728726773,0.0314596638560802,0.0836258818892745,329,5.92305760203691,3.19597494791586,8.72220682470544
"31","Mart",0.140976192904888,0.0831373663916264,0.198815019418149,394,15.1397236234933,8.66910731275632,21.995627680455,0.0547000353939531,0.0167134862563788,0.0926865845315275,168,5.6223737414598,1.68539379559411,9.71178276799865,0.0591203011887709,0.0329506794031927,0.0852899229743491,334,6.09028609389157,3.34995651689258,8.90327565492595
"32","Moor",0.13845881528492,0.0806350111601318,0.196282619409709,398,14.8502379852849,8.39751855106883,21.6870768039045,NA,NA,NA,NA,NA,NA,NA,0.0591219820790867,0.032949772580669,0.0852941915775043,338,6.09046442017593,3.34986279686666,8.9037405207842
"33","Mott",0.141243585648697,0.0835265060374442,0.19896066525995,398,15.170515266662,8.7114029996179,22.0133971303364,NA,NA,NA,NA,NA,NA,NA,0.0569241531499847,0.0310524558619792,0.0827958504379901,336,5.85755177320424,3.15396127668996,8.63200141543021
"34","Muku",0.126202915543995,0.073778001425504,0.178627829662487,396,13.45123551197,7.65677824527613,19.557570354445,NA,NA,NA,NA,NA,NA,NA,0.0577838135299967,0.0318107432854218,0.0837568837745716,339,5.94859244281034,3.2322112924563,8.7364505717316
"35","Nasc",0.146970576497037,0.0910421332919847,0.202899019702089,365,15.8319880700005,9.53151535194479,22.4948766310527,0.0518046614262227,0.0139499185549196,0.0896594042975258,158,5.31699976937747,1.40476726939498,9.38016761042983,0.0596546461807635,0.0334428261879852,0.0858664661735417,324,6.14699005535462,3.40083238387112,8.96608120119016
"36","Neto",0.14444760382007,0.0877283515339607,0.201166856106179,401,15.5401154770933,9.16915254167465,22.2828791252542,0.0580703841726013,0.0215009232379871,0.0946398451072155,175,5.97895854983932,2.17337336403423,9.92628789196996,0.0610889677980357,0.0354498159094205,0.086728119686651,341,6.29934821698153,3.60856518071833,9.06001267024548
"37","Obry",0.140975238576854,0.0838334486681664,0.198117028485541,403,15.1396137424797,8.74477628522412,21.91050554921,0.0558757546880789,0.0188074988172411,0.0929440105589167,176,5.74662903451839,1.89854738271484,9.7400290719053,0.0594643451707642,0.0335740861712821,0.0853546041702462,342,6.1267920978455,3.41440566619762,8.91031987684432
"38","Rigo",0.138966938129382,0.0811450757683505,0.196788800490413,398,14.9086108439326,8.45282239196741,21.7486880918675,NA,NA,NA,NA,NA,NA,NA,0.059478704731129,0.0333846533083062,0.0855727561539518,338,6.12831604286452,3.39481743464529,8.93408147089667
"39","Roso",0.130018073889287,0.075043646940243,0.184992500838331,398,13.8848966568748,7.79311982564834,20.3209417031923,NA,NA,NA,NA,NA,NA,NA,0.0549656410091674,0.0299625578998385,0.0799687241184963,329,5.65043136298375,3.04159522939385,8.32531874468152
"40","Ruis17",0.140317498368329,0.0826144520546261,0.198020544682033,400,15.0639066894431,8.61229753317208,21.8987437273688,NA,NA,NA,NA,NA,NA,NA,0.0589619465057967,0.0329093041271973,0.0850145888843961,340,6.07348753037122,3.34568047237944,8.87329499816842
"41","Ruis20",0.141758472216073,0.0839912938311848,0.199525650600962,392,15.2298302868737,8.76194247692879,22.0823523886429,NA,NA,NA,NA,NA,NA,NA,0.0606537396255589,0.0346686553120681,0.0866388239390496,332,6.25309381226173,3.52766185540991,9.0502745096753
"42","Sain",0.139298592427499,0.0816563909491936,0.196940793905805,401,14.9467270989702,8.50829014600556,21.7671944971803,NA,NA,NA,NA,NA,NA,NA,0.0576474604528342,0.0317645602379054,0.083530360667763,341,5.93414701107164,3.22744382442592,8.71182204269554
"43","Sala",0.138806118660254,0.0810251803803744,0.196587056940134,397,14.8901327879939,8.43982017821792,21.7241285567372,0.0618057736869276,0.0274354396117484,0.0961761077621068,171,6.37557153116537,2.78152568131862,10.09529332798,0.0615037186777093,0.0357857619187925,0.0872216754366262,337,6.34344510914353,3.6433779119992,9.113853152138
"44","Sequ",0.140794934784841,0.0833827483353073,0.198207121234374,402,15.1188555049617,8.69577602140277,21.9214892965372,NA,NA,NA,NA,NA,NA,NA,0.0595481222518023,0.0336993280320438,0.0853969164715608,342,6.13568346314852,3.42735828988123,8.91492822060933
"45","Snap",0.140059134354397,0.0823961807347563,0.197722087974038,401,15.0341821566923,8.58859317072076,21.8623676582182,NA,NA,NA,NA,NA,NA,NA,0.0596157394094964,0.0336582066080236,0.0855732722109692,341,6.14286029903011,3.42310529707086,8.93413768710833
"46","Thap",0.142089891469284,0.0843476730762902,0.199832109862278,383,15.2680260002228,8.80070988342414,22.1197713895825,0.0538804268058221,0.0157062625881308,0.0920545910235133,157,5.53584020350208,1.58302542282642,9.64246753923101,0.0602688728110938,0.0341501129472411,0.0863876326749465,323,6.21220839074479,3.47399229297989,9.02288547345775
"47","Wegn",0.143810904997264,0.0864545368394567,0.201167273155072,380,15.4665746357501,9.03017980253063,22.2829301232042,NA,NA,NA,NA,NA,NA,NA,0.0604802008360825,0.0344660854094471,0.0864943162627178,332,6.23465637883462,3.50669239099217,9.03451704646718
"48","Wies",0.140504239695142,0.0829893975725437,0.19801908181774,402,15.0853958824443,8.65302886286043,21.8985654061796,0.0522008499351151,0.0147519948505432,0.089649705019687,176,5.35873342112785,1.48613425638862,9.37910670693913,0.0596434556399165,0.0335226159055509,0.0857642953742821,336,6.1458022197729,3.4090830362373,8.95494861830377
"49","Yao19",0.139084998656321,0.0812336305696043,0.196936366743038,398,14.9221778159249,8.46242683535325,21.7666554151839,0.0540258527197177,0.0159360334816119,0.0921156719578235,172,5.55118896553923,1.60636892706656,9.64916480812403,0.0579970549356539,0.0318481172598565,0.0841459926114513,338,5.97118747860323,3.23606956258098,8.77876911826627
